Date,Open,High,Low,Close,Adj Close,Volume
Apr 29,2026,705.00,710.00,690.00,690.00,690.00,82903600
Apr 28,2026,685.00,710.00,670.00,705.00,705.00,132576400
Apr 27,2026,675.00,690.00,660.00,680.00,680.00,105909300
Apr 24,2026,680.00,695.00,645.00,660.00,660.00,236008800
Apr 23,2026,710.00,715.00,670.00,675.00,675.00,199164700
Apr 22,2026,735.00,740.00,700.00,705.00,705.00,189416500
Apr 21,2026,735.00,740.00,720.00,730.00,730.00,89720800
Apr 20,2026,760.00,770.00,725.00,730.00,730.00,142004900
Apr 17,2026,740.00,755.00,725.00,755.00,755.00,114058600
Apr 16,2026,750.00,760.00,725.00,735.00,735.00,134173600
Apr 15,2026,765.00,775.00,735.00,740.00,740.00,278757300
Apr 14,2026,745.00,760.00,735.00,745.00,745.00,222640300
Apr 13,2026,730.00,750.00,720.00,730.00,730.00,145267500
Apr 10,2026,755.00,760.00,740.00,745.00,745.00,98108100
Apr 9,2026,765.00,775.00,740.00,745.00,745.00,135857500
Apr 8,2026,715.00,795.00,715.00,780.00,780.00,215401400
Apr 7,2026,710.00,720.00,685.00,695.00,695.00,72276400
Apr 6,2026,720.00,740.00,705.00,710.00,710.00,66045400
Apr 2,2026,725.00,740.00,705.00,730.00,730.00,81871700
Apr 1,2026,745.00,765.00,730.00,730.00,730.00,197448900
Mar 31,2026,680.00,730.00,670.00,730.00,730.00,250844400
Mar 30,2026,655.00,685.00,640.00,680.00,680.00,87785900
Mar 27,2026,685.00,710.00,660.00,665.00,665.00,129688400
Mar 26,2026,740.00,750.00,685.00,690.00,690.00,179233800
Mar 25,2026,700.00,745.00,700.00,730.00,730.00,158712400
Mar 17,2026,705.00,725.00,690.00,700.00,700.00,175615900
Mar 16,2026,690.00,700.00,650.00,685.00,685.00,180588800
Mar 13,2026,720.00,720.00,670.00,705.00,705.00,189280300
Mar 12,2026,740.00,745.00,705.00,725.00,725.00,141769600
Mar 11,2026,755.00,770.00,730.00,740.00,740.00,184266400
Mar 10,2026,700.00,760.00,680.00,755.00,755.00,370522100
Mar 9,2026,660.00,690.00,630.00,660.00,660.00,278837200
Mar 6,2026,710.00,695.00,715.00,715.00,715.00,171020800
Mar 5,2026,745.00,780.00,725.00,725.00,725.00,308519100
Mar 4,2026,755.00,760.00,690.00,710.00,710.00,359323400
Mar 3,2026,805.00,840.00,750.00,770.00,770.00,465728400
Mar 2,2026,820.00,855.00,805.00,815.00,815.00,206065900
Feb 27,2026,825.00,855.00,775.00,855.00,855.00,308062600
Feb 26,2026,850.00,855.00,790.00,820.00,820.00,396969800
Feb 25,2026,900.00,920.00,830.00,845.00,845.00,597235900
Feb 24,2026,885.00,910.00,865.00,880.00,880.00,307250400
Feb 23,2026,875.00,910.00,860.00,875.00,875.00,324408800
Feb 20,2026,910.00,935.00,845.00,855.00,855.00,497874600
Feb 19,2026,830.00,945.00,800.00,905.00,905.00,1295743500
Feb 18,2026,765.00,800.00,745.00,785.00,785.00,368728700
Feb 13,2026,740.00,755.00,715.00,725.00,725.00,150512700
Feb 12,2026,740.00,760.00,725.00,735.00,735.00,278103600
Feb 11,2026,690.00,730.00,685.00,730.00,730.00,257309400
Feb 10,2026,655.00,720.00,655.00,685.00,685.00,292251400
Feb 9,2026,625.00,670.00,615.00,655.00,655.00,191340100
Feb 6,2026,635.00,640.00,605.00,615.00,615.00,185069100
Feb 5,2026,675.00,680.00,640.00,650.00,650.00,163977500
Feb 4,2026,635.00,680.00,625.00,670.00,670.00,334155800
Feb 3,2026,650.00,655.00,545.00,650.00,650.00,533863900
Feb 2,2026,650.00,685.00,595.00,595.00,595.00,331782000
Jan 30,2026,720.00,735.00,670.00,700.00,700.00,267077600
Jan 29,2026,765.00,765.00,645.00,720.00,720.00,768598200
Jan 28,2026,665.00,775.00,665.00,755.00,755.00,582208100
Jan 27,2026,810.00,815.00,760.00,765.00,765.00,288625100
Jan 26,2026,820.00,860.00,800.00,805.00,805.00,591935400
Jan 23,2026,810.00,815.00,770.00,795.00,795.00,274452800
Jan 22,2026,785.00,830.00,765.00,790.00,790.00,613809600
Jan 21,2026,765.00,810.00,755.00,780.00,780.00,341661600
Jan 20,2026,770.00,785.00,755.00,770.00,770.00,191848400
Jan 19,2026,780.00,785.00,735.00,770.00,770.00,406933700
Jan 15,2026,810.00,845.00,780.00,790.00,790.00,686073600
Jan 14,2026,800.00,815.00,750.00,770.00,770.00,1163578300
Jan 13,2026,650.00,790.00,650.00,775.00,775.00,1744226300
Jan 12,2026,665.00,670.00,615.00,650.00,650.00,356975200
Jan 9,2026,635.00,655.00,630.00,650.00,650.00,176705700
Jan 8,2026,655.00,655.00,625.00,630.00,630.00,479440100
Jan 7,2026,690.00,720.00,665.00,670.00,670.00,981577200
Jan 6,2026,645.00,670.00,635.00,660.00,660.00,419525600
Jan 5,2026,625.00,645.00,605.00,625.00,625.00,263126700
Jan 2,2026,580.00,630.00,580.00,620.00,620.00,390788900
Dec 30,2025,580.00,590.00,565.00,570.00,570.00,149005000
Dec 29,2025,545.00,580.00,545.00,580.00,580.00,183630800
Dec 24,2025,570.00,575.00,540.00,545.00,545.00,145116200
Dec 23,2025,545.00,575.00,535.00,560.00,560.00,282523700
Dec 22,2025,535.00,545.00,530.00,540.00,540.00,81651400
Dec 19,2025,550.00,565.00,530.00,530.00,530.00,137468200
Dec 18,2025,555.00,565.00,540.00,545.00,545.00,159644400
Dec 17,2025,530.00,540.00,525.00,535.00,535.00,59367100
Dec 16,2025,535.00,540.00,525.00,530.00,530.00,74609200
Dec 15,2025,535.00,560.00,530.00,535.00,535.00,161743500
Dec 12,2025,535.00,545.00,525.00,535.00,535.00,82737500
Dec 11,2025,565.00,570.00,525.00,535.00,535.00,191203500
Dec 10,2025,545.00,570.00,530.00,560.00,560.00,209689500
Dec 9,2025,560.00,565.00,535.00,540.00,540.00,108461900
Dec 8,2025,540.00,560.00,540.00,555.00,555.00,136362300
Dec 5,2025,535.00,545.00,530.00,535.00,535.00,62998800
Dec 4,2025,535.00,545.00,530.00,535.00,535.00,74872600
Dec 3,2025,545.00,550.00,530.00,530.00,530.00,112044300
Dec 2,2025,555.00,560.00,540.00,545.00,545.00,111213200
Dec 1,2025,545.00,560.00,535.00,550.00,550.00,132493900
Nov 28,2025,570.00,570.00,540.00,545.00,545.00,191457800
Nov 27,2025,590.00,590.00,565.00,570.00,570.00,150281500
Nov 26,2025,590.00,595.00,575.00,585.00,585.00,155997200
Nov 25,2025,555.00,585.00,550.00,585.00,585.00,340148200
Nov 24,2025,565.00,575.00,550.00,550.00,550.00,148148700
Nov 21,2025,565.00,570.00,540.00,560.00,560.00,177126700
Nov 20,2025,575.00,580.00,565.00,565.00,565.00,94368900
Nov 19,2025,575.00,590.00,560.00,565.00,565.00,125211700
Nov 18,2025,585.00,590.00,560.00,575.00,575.00,201423600
Nov 17,2025,635.00,635.00,580.00,585.00,585.00,384690700
Nov 14,2025,655.00,655.00,625.00,635.00,635.00,206776300
Nov 13,2025,675.00,680.00,650.00,660.00,660.00,136882400
Nov 12,2025,685.00,700.00,665.00,670.00,670.00,206126500
Nov 11,2025,695.00,750.00,670.00,680.00,680.00,1017299700
Nov 10,2025,650.00,690.00,635.00,685.00,685.00,386728500
Nov 7,2025,640.00,660.00,630.00,645.00,645.00,115837300
Nov 6,2025,645.00,660.00,625.00,645.00,645.00,197495800
Nov 5,2025,620.00,645.00,605.00,645.00,645.00,162917400
Nov 4,2025,640.00,645.00,615.00,630.00,630.00,104956800
Nov 3,2025,615.00,640.00,640.00,640.00,640.00,144463700
Oct 31,2025,655.00,655.00,630.00,660.00,660.00,179266600
Oct 30,2025,650.00,670.00,640.00,660.00,660.00,282127600
Oct 29,2025,635.00,655.00,615.00,640.00,640.00,187783700
Oct 28,2025,620.00,675.00,610.00,635.00,635.00,94210300
Oct 27,2025,590.00,610.00,555.00,610.00,610.00,251873300
Oct 24,2025,595.00,610.00,580.00,585.00,585.00,99273100
